filename,dataset,reason
LPD (10).jpg,Mendeley,FLAG: too narrow: 396px wide
LPD (1).jpg,Mendeley,no DPI metadata
LPD (10).jpg,Mendeley,no DPI metadata
LPD (100).jpg,Mendeley,no DPI metadata
LPD (101).jpg,Mendeley,no DPI metadata
LPD (102).jpg,Mendeley,no DPI metadata
LPD (103).jpg,Mendeley,no DPI metadata
LPD (104).jpg,Mendeley,no DPI metadata
LPD (105).jpg,Mendeley,no DPI metadata
LPD (106).jpg,Mendeley,no DPI metadata
LPD (107).jpg,Mendeley,no DPI metadata
LPD (108).jpg,Mendeley,no DPI metadata
LPD (109).jpg,Mendeley,no DPI metadata
LPD (11).jpg,Mendeley,no DPI metadata
LPD (110).jpg,Mendeley,no DPI metadata
LPD (111).jpg,Mendeley,no DPI metadata
LPD (112).jpg,Mendeley,no DPI metadata
LPD (113).jpg,Mendeley,no DPI metadata
LPD (114).jpg,Mendeley,no DPI metadata
LPD (115).jpg,Mendeley,no DPI metadata
LPD (116).jpg,Mendeley,no DPI metadata
LPD (117).jpg,Mendeley,no DPI metadata
LPD (118).jpg,Mendeley,no DPI metadata
LPD (119).jpg,Mendeley,no DPI metadata
LPD (12).jpg,Mendeley,no DPI metadata
LPD (120).jpg,Mendeley,no DPI metadata
LPD (121).jpg,Mendeley,no DPI metadata
LPD (122).jpg,Mendeley,no DPI metadata
LPD (123).jpg,Mendeley,no DPI metadata
LPD (124).jpg,Mendeley,no DPI metadata
LPD (125).jpg,Mendeley,no DPI metadata
LPD (126).jpg,Mendeley,no DPI metadata
LPD (127).jpg,Mendeley,no DPI metadata
LPD (128).jpg,Mendeley,no DPI metadata
LPD (129).jpg,Mendeley,no DPI metadata
LPD (13).jpg,Mendeley,no DPI metadata
LPD (130).jpg,Mendeley,no DPI metadata
LPD (131).jpg,Mendeley,no DPI metadata
LPD (132).jpg,Mendeley,no DPI metadata
LPD (133).jpg,Mendeley,no DPI metadata
LPD (134).jpg,Mendeley,no DPI metadata
LPD (135).jpg,Mendeley,no DPI metadata
LPD (14).jpg,Mendeley,no DPI metadata
LPD (15).jpg,Mendeley,no DPI metadata
LPD (16).jpg,Mendeley,no DPI metadata
LPD (17).jpg,Mendeley,no DPI metadata
LPD (18).jpg,Mendeley,no DPI metadata
LPD (19).jpg,Mendeley,no DPI metadata
LPD (2).jpg,Mendeley,no DPI metadata
LPD (20).jpg,Mendeley,no DPI metadata
LPD (21).jpg,Mendeley,no DPI metadata
LPD (22).jpg,Mendeley,no DPI metadata
LPD (23).jpg,Mendeley,no DPI metadata
LPD (24).jpg,Mendeley,no DPI metadata
LPD (25).jpg,Mendeley,no DPI metadata
LPD (26).jpg,Mendeley,no DPI metadata
LPD (27).jpg,Mendeley,no DPI metadata
LPD (28).jpg,Mendeley,no DPI metadata
LPD (29).jpg,Mendeley,no DPI metadata
LPD (3).jpg,Mendeley,no DPI metadata
LPD (30).jpg,Mendeley,no DPI metadata
LPD (31).jpg,Mendeley,no DPI metadata
LPD (32).jpg,Mendeley,no DPI metadata
LPD (33).jpg,Mendeley,no DPI metadata
LPD (34).jpg,Mendeley,no DPI metadata
LPD (35).jpg,Mendeley,no DPI metadata
LPD (36).jpg,Mendeley,no DPI metadata
LPD (37).jpg,Mendeley,no DPI metadata
LPD (38).jpg,Mendeley,no DPI metadata
LPD (39).jpg,Mendeley,no DPI metadata
LPD (4).jpg,Mendeley,no DPI metadata
LPD (40).jpg,Mendeley,no DPI metadata
LPD (41).jpg,Mendeley,no DPI metadata
LPD (42).jpg,Mendeley,no DPI metadata
LPD (43).jpg,Mendeley,no DPI metadata
LPD (44).jpg,Mendeley,no DPI metadata
LPD (45).jpg,Mendeley,no DPI metadata
LPD (46).jpg,Mendeley,no DPI metadata
LPD (47).jpg,Mendeley,no DPI metadata
LPD (48).jpg,Mendeley,no DPI metadata
LPD (49).jpg,Mendeley,no DPI metadata
LPD (5).jpg,Mendeley,no DPI metadata
LPD (50).jpg,Mendeley,no DPI metadata
LPD (51).jpg,Mendeley,no DPI metadata
LPD (52).jpg,Mendeley,no DPI metadata
LPD (53).jpg,Mendeley,no DPI metadata
LPD (54).jpg,Mendeley,no DPI metadata
LPD (55).jpg,Mendeley,no DPI metadata
LPD (56).jpg,Mendeley,no DPI metadata
LPD (57).jpg,Mendeley,no DPI metadata
LPD (58).jpg,Mendeley,no DPI metadata
LPD (59).jpg,Mendeley,no DPI metadata
LPD (6).jpg,Mendeley,no DPI metadata
LPD (60).jpg,Mendeley,no DPI metadata
LPD (61).jpg,Mendeley,no DPI metadata
LPD (62).jpg,Mendeley,no DPI metadata
LPD (63).jpg,Mendeley,no DPI metadata
LPD (64).jpg,Mendeley,no DPI metadata
LPD (65).jpg,Mendeley,no DPI metadata
LPD (66).jpg,Mendeley,no DPI metadata
LPD (67).jpg,Mendeley,no DPI metadata
LPD (68).jpg,Mendeley,no DPI metadata
LPD (69).jpg,Mendeley,no DPI metadata
LPD (7).jpg,Mendeley,no DPI metadata
LPD (70).jpg,Mendeley,no DPI metadata
LPD (71).jpg,Mendeley,no DPI metadata
LPD (72).jpg,Mendeley,no DPI metadata
LPD (73).jpg,Mendeley,no DPI metadata
LPD (74).jpg,Mendeley,no DPI metadata
LPD (75).jpg,Mendeley,no DPI metadata
LPD (76).jpg,Mendeley,no DPI metadata
LPD (77).jpg,Mendeley,no DPI metadata
LPD (78).jpg,Mendeley,no DPI metadata
LPD (79).jpg,Mendeley,no DPI metadata
LPD (8).jpg,Mendeley,no DPI metadata
LPD (80).jpg,Mendeley,no DPI metadata
LPD (81).jpg,Mendeley,no DPI metadata
LPD (82).jpg,Mendeley,no DPI metadata
LPD (83).jpg,Mendeley,no DPI metadata
LPD (84).jpg,Mendeley,no DPI metadata
LPD (85).jpg,Mendeley,no DPI metadata
LPD (86).jpg,Mendeley,no DPI metadata
LPD (87).jpg,Mendeley,no DPI metadata
LPD (88).jpg,Mendeley,no DPI metadata
LPD (89).jpg,Mendeley,no DPI metadata
LPD (9).jpg,Mendeley,no DPI metadata
LPD (90).jpg,Mendeley,no DPI metadata
LPD (91).jpg,Mendeley,no DPI metadata
LPD (92).jpg,Mendeley,no DPI metadata
LPD (93).jpg,Mendeley,no DPI metadata
LPD (94).jpg,Mendeley,no DPI metadata
LPD (95).jpg,Mendeley,no DPI metadata
LPD (96).jpg,Mendeley,no DPI metadata
LPD (97).jpg,Mendeley,no DPI metadata
LPD (98).jpg,Mendeley,no DPI metadata
LPD (99).jpg,Mendeley,no DPI metadata
PD (1).jpg,Mendeley,no DPI metadata
PD (10).jpg,Mendeley,no DPI metadata
PD (100).jpg,Mendeley,no DPI metadata
PD (101).jpg,Mendeley,no DPI metadata
PD (102).jpg,Mendeley,no DPI metadata
PD (103).jpg,Mendeley,no DPI metadata
PD (104).jpg,Mendeley,no DPI metadata
PD (105).jpg,Mendeley,no DPI metadata
PD (106).jpg,Mendeley,no DPI metadata
PD (107).jpg,Mendeley,no DPI metadata
PD (108).jpg,Mendeley,no DPI metadata
PD (109).jpg,Mendeley,no DPI metadata
PD (11).jpg,Mendeley,no DPI metadata
PD (110).jpg,Mendeley,no DPI metadata
PD (111).jpg,Mendeley,no DPI metadata
PD (112).jpg,Mendeley,no DPI metadata
PD (113).jpg,Mendeley,no DPI metadata
